Ward Name,Street Name,Longitude,Latitude,Area (m²),Width (m),Length (m),Land Type,Legal Status,House Direction,Property Features,Price
Phường Hòa Minh,Thanh vinh 15,108.1695,16.0657,100.0,4.0,25.0,4,6,5.0,"['2', ' 4']",150000000
Phường Hòa Khánh Nam,Đường Hoàng Văn Thái,108.15827,16.053888,102.0,5.0,23.0,4,6,8.0,['3'],165000000
Phường Hòa Khánh Nam,Đường Đà Sơn,108.1507,16.0589,150.0,10.0,15.0,4,6,6.0,"['2', ' 3', ' 4']",250000000
Phường Hòa Phát,Vũ lăng ,108.172516,16.028736,100.0,5.0,20.0,4,5,6.0,"['4', ' 2', ' 3']",250000000
Phường Hòa Khánh Bắc,Âu cơ ,108.13694,16.077059,100.0,5.0,20.0,4,5,4.0,"['4', ' 2']",250000000
Xã Hòa Sơn,DT 602,108.11322,16.0452,309.0,10.0,40.0,4,5,6.0,"['1', ' 4']",270000000
Xã Hòa Phong,Đường Bê Tông Sát Quốc Lộ 14G,108.12508,15.987646,269.0,9.47,28.0,4,1,8.0,"['2', ' 7']",280000000
Phường Hòa Khánh Nam,Đường Nam Cao,108.15003,16.066383,75.0,5.0,15.0,4,6,4.0,['4'],280000000
Xã Hòa Phong,Đường Bê Tông Oto Gần Quốc Lộ 14G,108.12508,15.987646,269.0,9.47,28.0,4,1,8.0,"['1', ' 2', ' 3', ' 6']",280000000
Phường Hòa Phát,Vũ lăng ,108.172516,16.028736,120.0,8.0,15.0,4,5,7.0,"['2', ' 4']",350000000
Phường Hòa Khánh Nam,Hoàng văn thái ,108.148796,16.053411,85.0,4.0,22.0,4,4,7.0,"['2', ' 3', ' 4']",350000000
Xã Hòa Tiến,DT605,108.172516,15.97223,153.0,5.0,30.0,1,1,5.0,"['1', ' 3']",415000000
Xã Hòa Phong,Đường Bê Tông Oto,108.12508,15.987646,309.0,10.0,22.0,4,1,4.0,"['1', ' 2', ' 3', ' 4']",430000000
Xã Hòa Phong,Bê Tông Oto Sát Nhà Dân Ở,108.12508,15.987646,309.0,10.0,22.0,4,1,4.0,"['2', ' 7']",430000000
Xã Hòa Phong,Đường 6m Oto Thông,108.12508,15.987646,309.0,10.0,25.0,4,1,5.0,"['1', ' 4']",470000000
